title,company-name,location,type,salary_package,company_requirements
IT US Recruiter (Night Shift),Finezi,"Udipi, Karnataka",N/A,"₹15,000 - ₹40,000","Candidates without past experience of working continuously with one company for at least 3 to 4 years , should not apply."
Mastering Technician (A.V Editor/ Text Conformance),"PREMIERE DIGITAL SERVICES, INC","Bangalore Urban District, Karnataka",Full-time,N/A,"Performing edits on Episodes, Features, Trailer, and Trailer Clip based on QC notes and create an error free output for digital distribution."
IT& ART Teacher,Shree Swaminarayan Gurukul International School...,"Jadcherla, Andhra Pradesh",Monday to Friday ,N/A,"Ed with Minimum 3 yrs Experinece.
Good in Communication Skills, Subject Knowledge, & Behaviour.
Job Types: Full-time, Permanent.
Total work: 1 year (Preferred)."
MNC COMPANY IS HIRING -DAY SHIFT,HGS,"Bengaluru, Karnataka",Full-time,N/A,"Qualifications Bcom,BBM,BBA,BSC,MBA,MA,MCA,MSC,BA, BE,…"
Executive Assistant,Wing AI,Remote,N/A,₹250 - ₹450,"Benefits of both worlds - Enthusiasm & Learning curve of a Start-Up, Deliveries & Performance of an Enterprise Service Provider.
Total work: 1 year (Preferred)."
Amazon Product Listing Coordinator,Heritage Baby Products,"Hyderabad, Telangana",Full-time ,N/A,"Managing Amazon product listing - product setup - listing optimization etc.
Preferred if experienced in Amazon ad management or other similar ecom companies."
Work from home opportunity,Sagar Enterprenuers,"Remote in Warangal, Telangana",N/A,"₹40,000 - ₹50,000","Job Types: Full-time, Permanent.
Warangal, Telangana: Reliably commute or planning to relocate before starting work (Required)."
Executive - Customer Service,WorldWide Logistics India Pvt Ltd,"Bengaluru, Karnataka",Full-time ,N/A,"Freight Forwarding - Customer Support for AIR & SEA - Import and Export.
Years of Experience - 2-4 Years.
Job Types: Full-time, Permanent, Fresher."
Social Media Customer Service,Frido,Remote,Monday to Friday ,N/A,"Collaborate with internal teams to address complex customer concerns.
Provide feedback to improve customer service processes."
Content Writer (Work from Home),Nestsoft technologies,Remote in India,N/A,"₹50,000","Should have experience in working with SEO Writing, Articles, blogs web contents etc.
This person will be responsible for writing the content for several types…"
"Transcriber (General,legal,Business) -Work from Home Full time",EarningsScript Pvt.Ltd.,Remote,Full-time ,N/A,"Adhering to the industry practices and confidentiality guidelines at all times.
Translating the recorded audio hearings into text documents."
Assistant Supervisor,Prashant Enterprise,"Jammu, Jammu and Kashmir",N/A,N/A,And age 18+ my team full sported right now*.
Data Entry Executive,Chandan Tech Solutions Pvt ltd,"Pune, Maharashtra",N/A,"₹25,000 - ₹38,000","Compiling, verifying accuracy and sorting information to prepare source data for computer entry.
Entering customer and account data from source documents within…"
English Language Assessment Expert,Hurix Digital3.4,"Hybrid work in Nanakramguda, Hyderabad, Telangana",Full-time,N/A,"Develop clear and measurable assessment goals and criteria.
Create assessment content that aligns with established objectives and standards."
Content Writer,Teaddle Media,Remote,N/A,N/A,"Brainstorm and generate content ideas that align with each client's brand, audience, and goals.
Pay scale: ₹25,000-₹35,000/month + Bonus."
Assistant Supervisor,Web discovery winds,Remote,N/A,"₹15,000 - ₹20,000","The Assistant Supervisor is responsible for assistant the supervisor in the day to day operations of the company, including managing the training of team…"
Wildlife Camp Naturalists / Birders,TigerTrails,India,N/A,N/A,"Our wildlife safaris consists of morning and evening trips into national parks, special visits to tribal villages and local events for our Indian and overseas…"
Online Spoken English Tutor,eTutorszone.com,Remote,N/A,N/A,"Spoken English Teaching: 3 years (Preferred).
Proficiency in English language (native or near-native fluency preferred)."
Tele Sales Executive-work from Home,Webcrstravel Technologies Pvt Ltd,"Remote in Kochi, Kerala",N/A,₹400 - ₹600,"Most importantly, a tele sales needs to follow up with the customer on what they had discussed in the last phone call.
Direct sales: 1 year (Preferred)."
Social Media Intern,Allo Innoware,Remote,Part-time,N/A,"Work closely with graphic designers to get social media posts done.
Give various copywriting content as per the creatives and campaign for social media."
Social Media Handler,Abhishek Technologies,Remote,N/A,N/A,"Ability to create engaging posts for our Facebook business account.
Craft and post at least 1 daily update on our Facebook business account, focusing on…"
Pre - Sales - US Shift,Bhanzu,Remote,N/A,"₹12,000 - ₹15,000","Learning & using our customer relations management software & others related computer.
Collating and maintaining client information in the CRM database."
Tamil Native Speaker,Tutornet Solutions Pvt Ltd,Remote,Full-time,N/A,"Able to commit to working daily for at least 3 to 3.5 hours.
Ensure sentences are grammatically correct, complete, and articulated clearly."
Freelance Copy Editor,Ansrsource,Remote,N/A,N/A,"As a Copy Editor, you will be responsible for reviewing and editing written content for grammatical accuracy, clarity, and consistency."
Virtual Assistant (WFH/Remote),Growup Group,Remote,N/A,"₹7,000 - ₹10,000","You will be assigned a client once you are nearing the completion of your training.
A VA will be trained in all the domains enlisted below, and depending on…"
Customer Support Executive- Voice Process- Work From Home,Reliance SMSL limited,"Remote in Palakkad district, Kerala",Full-time,N/A,"Capture customer details and data relevant to the call or service.
Respond to all customers in appropriate tone and language."
Executive Assistant to CEO,FAITH DIGITAL MEDIA,Remote,N/A,"₹30,000 - ₹35,000","Self starter and an Independant worker.
We are looking for a Virtual/ Executive Assistant to provide administrative support while working remotely."
Computer Scientist,Adobe4.3,"Bengaluru, Karnataka",Full-time,N/A,"Experience : 3-5 years of software engineering experience, including at least 2 years in integrating machine learning models and maintaining ML pipelines,…"
Hindi Content Writer,An services Pvt ltd,Remote,N/A,N/A,"Job Types: Full-time, Part-time, Permanent.
Total work: 1 year (Preferred)."
Customer Service Representative,Times Internet Limited,Remote,N/A,"₹7,000 - ₹9,000",1.You will have the responsibility of taking complete ownership in sorting out the queries of the prospective /existing investors so that he/she can invest …
